name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added
wtg_V4_4,554.7578568863593,811,0.0,0.0,wind,wind,0.0,2.124363556624984,-1.062181778312492,1.062181778312492,2042
gen_YAMBUKWF,33.32912240068736,637,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.12844039780340846,-0.06216515253684969,0.06216515253684969,2042
gen_CSPVPS1,47.216256734307095,995,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_1023_2,151.97,25,0.8000000096605855,0.0,solar,Solar,0.0,0.0,0.0,0.0,2042
gen_3272_1,1.0997547345701597,1574,0.0,-0.23491234292745433,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_Barcaldine Remote Community Solar Farm,22.219414933791576,744,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_3295_4,392.3008464002056,1616,1.7931772339966294,-0.4091886388250841,blackcoal,Fossil,0.0,3.65,-0.8111111111111111,1.4378787878787878,2042
wtg_Q6_1,1118.033988749895,2013,0.0,0.0,wind,wind,0.0,5.126287895636052,-2.563143947818026,2.563143947818026,2042
wtg_Q2_2,1118.033988749895,1655,0.0,0.0,wind,wind,0.0,5.126287895636052,-2.563143947818026,2.563143947818026,2042
pv_N3_1,1118.033988749895,1815,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_3559_1,1.08463595104404,563,0.0,0.1950640364302244,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_BRAEMAR3,200.53021977746894,659,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.9252949651623074,-0.44784276313855675,0.44784276313855675,2042
gen_2028_3,121.33333333333331,846,1.2000000116517344,0.4999999850187309,wind,Wind,0.0,0.4795108184660582,-0.1997961743608576,0.1997961743608576,2042
wtg_N3_1,1118.033988749895,1815,0.0,0.0,wind,wind,0.0,5.585340853967759,-2.7926704269838796,2.7926704269838796,2042
gen_2345_12,0.0789633095503086,1821,0.0,0.10000000516196614,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_1042_2,12.41329792593104,1032,2.3617687435479366,-0.366197313259297,hydrowater,Hydro,0.0,0.12,-0.03176470588235294,0.03176470588235294,2042
gen_1020_3,195.34336408724224,113,8.200000010014195,1.6957859545700886,naturalgas,Fossil,0.0,1.73,-0.5907317073170733,0.9071951219512195,2042
gen_BOMENSF1,134.42746034943903,25,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
pv_S5_1,646.4480463341083,1778,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_5005_5,45.257282110175375,566,1.5000000147717105,0.2991822970927146,hydrowater,Hydro,0.0,0.35339999999999994,-0.25916,0.28271999999999997,2042
gen_TABMILL2,26.663297920549887,1540,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.12303090949526525,-0.05954696019570838,0.05954696019570838,2042
gen_1020_4,195.34336408724224,113,8.200000010014195,1.6957859545700886,naturalgas,Fossil,0.0,1.73,-0.5907317073170733,0.9071951219512195,2042
pv_Q6_1,1118.033988749895,2013,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_BERYLSF1,109.31952147425454,179,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
gen_2093_2,238.55571283245345,329,4.200000041790948,0.06704894598830839,wind,Wind,0.0,0.9305506820856941,-0.2658716234530555,0.4209634038006711,2042
gen_3419_4,20.417134706402297,1216,0.8479755663852845,-0.5477465685138309,hydrowater,Hydro,0.0,0.18680000000000002,-0.03845882352941177,0.08241176470588235,2042
gen_1036_3,645.28666725168,1119,3.314137132649325,-0.28132025554950435,naturalgas,Fossil,0.0,1.81,-0.3341538461538461,0.6126153846153847,2042
gen_RUGBYR1,72.21309853482262,523,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2042
wtg_Q4_3,411.72237628231346,1790,0.0,0.0,wind,wind,0.0,1.887784678405408,-0.943892339202704,0.943892339202704,2042
gen_2061_2,152.46934422942883,486,1.1000000105153187,0.19999954528033748,hydrowater,Hydro,0.0,1.5001,-0.27274545454545457,0.27274545454545457,2042
