name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added,bus_name,area
wtg_N4_1,221.38191011236668,2015,0.0,0.0,wind,wind,0.0,0.2285359645225413,-0.1142679822612706,0.1142679822612706,2025,connection N4,2
gen_2004_8,90.0339754913002,1167,1.0000000095202728,0.246990765913851,hydrowater,Hydro,0.0,1.85,-0.7400000000000001,0.7400000000000001,2025,bus_2004,6
gen_5016_6,72.60313276841859,1085,6.778542675952009e-09,-0.1219502949568618,hydrowater,Hydro,0.0,0.828,-0.3104999999999999,0.5175,2025,bus_5016,15
gen_5045_1,83.72531062298448,1880,0.9000000097459945,0.0311085548370984,hydrowater,Hydro,0.0,0.85,-0.1888888888888888,0.0944444444444444,2025,bus_5045,15
gen_4059_3,134.14726414117618,1927,1.599999850282834,0.3596325620461786,wind,Wind,0.0,0.5315825458251833,0.0,0.2325673637985176,2025,bus_4059,14
gen_PTSTAN1_2,66.52492831177197,856,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.2590005113426523,-0.1253562474898437,0.1253562474898437,2025,bus_4002,13
gen_JUNEESF1,40.00605658829173,1093,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_1133,2
gen_2057_2,47.64830648733605,633,1.200000011772336,0.2000000064176187,naturalgas,Fossil,0.0,0.47,-0.0783333333333333,0.0783333333333333,2025,bus_2057,5
gen_2045_3,606.6216292806507,1827,-9.245202508435553e-09,-0.0465286312184052,browncoal,Fossil,0.0,5.525,-0.8103333333333333,2.5046666666666666,2025,bus_2045,6
gen_2045_4,606.6216292806507,1827,-9.245202508435553e-09,-0.0465286312184052,browncoal,Fossil,0.0,5.525,-0.8103333333333333,2.5046666666666666,2025,bus_2045,6
gen_BRAEMAR6,200.53021977746891,659,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.3339364742995908,-0.1616252535610019,0.1616252535610019,2025,bus_3121,9
gen_2007_1,0.6813865119328261,571,0.7000000097756667,0.0829430497482147,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_2007,6
gen_2012_1,23.38719214,1268,-9.621017705979892e-09,0.0999999925620224,hydrowater,Hydro,0.0,0.135,0.0,0.045,2025,bus_2012,6
