name,mbase,bus_index,pg,qg,fuel,fuel_type,pmax,qmax,year_exp,exp_time
gen_3588_4,515.843401,1140,0.5914500836745517,-0.2144411228084013,blackcoal,Fossil,4.5,1.6442307692307692,2037,2037-12-01
gen_3444_1,374.71153841885024,1580,6.477506029201183,1.2729506936195132,blackcoal,Fossil,3.5,1.3382352941176472,2037,2037-12-01
gen_3444_2,374.71153841885024,1580,6.477506029201183,1.2729506936195132,blackcoal,Fossil,3.5,1.3382352941176472,2037,2037-12-01
gen_3444_3,374.71153841885024,1580,6.477506029201183,1.2729506936195132,blackcoal,Fossil,3.5,1.3382352941176472,2037,2037-12-01
gen_4064_1,284.17896921371107,1882,2.7999998626976206,0.7515425422804861,naturalgas,Fossil,2.645,1.039107142857143,2037,2037-12-01
gen_2056_3,46.581592120633,651,0.5000000097710116,0.1000000061694875,wind,Wind,0.672,0.1344,2037,2037-12-01
gen_KSP1,55.54853733447893,1242,0.0,-0.7957050950398918,solar,Solar,0.5,0.242,2037,2037-12-01
gen_3444_4,374.71153841885024,1580,6.477506029201183,1.2729506936195132,blackcoal,Fossil,3.5,1.3382352941176472,2037,2037-12-01
gen_1084_1,52.3175148501992,446,0.6000000096707853,-0.0240724261217568,wind,Wind,1.75,0.2916666666666667,2038,2038-12-01
gen_CULLRGWF,33.32912240068736,1329,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.3,0.1452,2038,2038-12-01
gen_4079_1,93.21615282686824,1874,0.7141254040842899,0.0917873421821183,wind,Wind,0.9283333333333332,0.0843939393939394,2038,2038-12-01
gen_4079_2,93.21615282686824,1874,0.7141254040842899,0.0917873421821183,wind,Wind,0.9283333333333332,0.0843939393939394,2038,2038-12-01
gen_2014_1,189.4753862,1347,1.9000000185122936,0.2937069184934971,wind,Wind,4.2,1.7684210526315791,2038,2038-12-01
gen_4079_3,93.21615282686824,1874,0.7141254040842899,0.0917873421821183,wind,Wind,0.9283333333333332,0.0843939393939394,2038,2038-12-01
gen_4059_1,134.14726414117618,1927,1.599999850282834,0.3596325620461786,wind,Wind,1.229,0.5376874999999999,2039,2039-12-01
gen_2040_1,85.79509418341495,1454,2.100000012257214,0.1884007473516043,naturalgas,Fossil,0.7599999999999999,0.398095238095238,2039,2039-12-01
gen_4059_2,134.14726414117618,1927,1.599999850282834,0.3596325620461786,wind,Wind,1.229,0.5376874999999999,2039,2039-12-01
gen_4029_1,36.5241711,774,-9.791539588555685e-09,0.0483844407548777,wind,Wind,0.5670000000000001,0.4252499999999999,2039,2039-12-01
gen_2040_2,85.79509418341495,1454,2.100000012257214,0.1884007473516043,naturalgas,Fossil,0.7599999999999999,0.398095238095238,2039,2039-12-01
gen_CPSA_1,80.21208791098758,1172,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.722,0.349448,2039,2039-12-01
gen_2011_2,53.081727110997626,1990,-9.779911865983564e-09,-0.0267974905324575,naturalgas,Fossil,0.53,0.0294444444444444,2039,2039-12-01
gen_2011_3,53.081727110997626,1990,-9.779911865983564e-09,-0.0267974905324575,naturalgas,Fossil,0.53,0.0294444444444444,2039,2039-12-01
gen_2011_4,53.081727110997626,1990,-9.779911865983564e-09,-0.0267974905324575,naturalgas,Fossil,0.53,0.0294444444444444,2039,2039-12-01
gen_CPSA_2,80.21208791098758,1172,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.722,0.349448,2039,2039-12-01
gen_2040_3,85.79509418341495,1454,2.100000012257214,0.1884007473516043,naturalgas,Fossil,0.7599999999999999,0.398095238095238,2039,2039-12-01
gen_4059_3,134.14726414117618,1927,1.599999850282834,0.3596325620461786,wind,Wind,1.229,0.5376874999999999,2039,2039-12-01
