name,mbase,bus_index,pg,qg,fuel,fuel_type,pmax,qmax,year_exp
wtg_V6_1,0.0,600,0.0,0.0,wind,wind,0.0,0.0,2026
gen_3456_4,24.5818638734054,166,-8.821841233388489e-9,0.0134439229907317,hydrowater,Hydro,0.3,0.2,2026
gen_4010_21,0.28771634400000007,1800,0.026077162123302154,0.09999992899047752,solar,Solar,0.3,0.1,2026
gen_1067_1,894.4271909999159,1318,0.4000000096607614,0.1999999956764661,naturalgas,Fossil,8.0,4.0,2026
pv_N8_1,0.0,719,0.0,0.0,solar,solar,0.0,0.0,2026
owtg_T5_1,0.0,2022,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2026
gen_3462_1,195.96899449389898,1355,2.0000000196666483,-0.0952663147495664,naturalgas,Fossil,2.0,0.9,2026
wtg_Q7_1,0.0,2000,0.0,0.0,wind,wind,0.0,0.0,2026
gen_3449_2,35.1063570457092,1353,-8.729820151989273e-9,-0.007891087391888235,naturalgas,Fossil,0.4,0.2,2026
pv_S3_1,0.0,1551,0.0,0.0,solar,solar,0.0,0.0,2026
pv_Q9_1,0.0,2002,0.0,0.0,solar,solar,0.0,0.0,2026
gen_3448_1,35.3824854665436,228,-8.738819969300833e-9,-0.0074915179224723984,naturalgas,Fossil,0.4,0.2,2026
gen_3586_2,426.8220308,826,0.569220042870208,-0.18642600800242043,blackcoal,Fossil,4.3,1.9,2026
gen_4372_12,0.04312644164264199,985,0.0,0.09999993335616902,solar,Solar,0.0,0.1,2026
gen_3418_2,313.04951684997053,608,1.3467125466708447,-0.1660679387442599,blackcoal,Fossil,2.8,1.4,2026
gen_3423_1,313.04951684997053,608,4.300000042648969,0.644196010929329,blackcoal,Fossil,2.8,1.4,2026
gen_2062_2,331.058907144937,1107,1.1000000105261836,0.19999795219167896,naturalgas,Fossil,3.0,1.4,2026
gen_3466_1,34.7002429670887,1479,0.40000000963075893,0.038833101344188034,naturalgas,Fossil,0.4,0.2,2026
gen_4018_1,0.5888280384633691,1672,0.5999990603955058,-0.0999279660375677,solar,Solar,0.6,0.1,2026
gen_2017_1,0.805258456163574,1489,0.0,0.08297556252589261,solar,Solar,0.0,0.6,2026
gen_5230_2,36.1447293923702,570,-5.7566146962783815e-9,0.014596994942692763,hydrowater,Hydro,0.4,0.2,2026
pv_T3_1,0.0,2010,0.0,0.0,solar,solar,0.0,0.0,2026
owtg_N10_1,0.0,2016,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2026
gen_2047_2,407.70700263792384,1703,-9.245301553431763e-9,-0.06461427018270963,browncoal,Fossil,3.75,1.6,2026
gen_2043_2,407.70700263792384,1703,6.400000063792992,0.7096079057704425,browncoal,Fossil,3.75,1.6,2026
gen_4078_11,34.96740921,1593,-9.69048039521497e-9,0.08150829561720677,wind,Wind,0.4,0.1,2026
wtg_Q3_1,0.0,849,0.0,0.0,wind,wind,0.0,0.0,2026
gen_4036_1,196.9771560359221,1450,-9.791131303591114e-9,-0.006469366062022725,naturalgas,Fossil,1.8,0.8,2026
pv_V3_1,0.0,811,0.0,0.0,solar,solar,0.0,0.0,2026
pv_S7_1,0.0,2005,0.0,0.0,solar,solar,0.0,0.0,2026
gen_4028_1,37.22684,603,-9.791539588555683e-9,0.04569204164992472,wind,Wind,0.4,0.3,2026
gen_3425_3,313.04951684997053,782,4.2000000416487335,0.6320614271638315,blackcoal,Fossil,2.8,1.4,2027
gen_2054_1,331.058907144937,1107,1.2000000117730876,0.10000000633732667,naturalgas,Fossil,3.0,1.4,2027
pv_T3_1,0.0,2010,0.0,0.0,solar,solar,0.0,0.0,2027
wtg_S9_1,0.0,2007,0.0,0.0,wind,wind,0.0,0.0,2027
gen_3155_1,70.4010887629353,1647,0.8000000096464704,0.1763158242860042,hydrowater,Hydro,0.8,0.4,2027
gen_2073_1,389.10152916687434,1703,6.300000062800424,-0.5958097638634434,browncoal,Fossil,3.5,1.7,2027
gen_1044_1,1667.0932787339766,555,8.400000075184948,-1.0807269730475024,blackcoal,Fossil,14.4,8.4,2027
gen_4153_21,0.131987497480586,1371,0.0,0.1950820626691131,solar,Solar,0.0,0.2,2027
gen_3463_1,105.795435098372,1639,1.1000000106436763,0.2997102649007753,blackcoal,Fossil,1.1,0.5,2027
gen_4094_1,1.6993349549174301,1171,0.0,0.8999999792754338,solar,Solar,0.0,0.9,2027
gen_5022_1,33.6463986921869,468,0.4000000097566343,0.0426981520218264,hydrowater,Hydro,0.4,0.2,2027
gen_1081_5,800.5623023850173,1272,3.5638637708802675e-8,0.15086697738251842,blackcoal,Fossil,7.2,3.5,2027
gen_4035_1,894.4271909999159,938,-9.791131303591114e-9,-0.006230724768083406,naturalgas,Fossil,8.0,4.0,2027
pv_S9_1,0.0,2007,0.0,0.0,solar,solar,0.0,0.0,2027
gen_5019_1,215.40659228538016,258,-8.38122239419553e-9,-0.007118935396783777,hydrowater,Hydro,2.0,0.8,2027
gen_4085_11,0.108895174942445,832,0.0,0.17959582252631157,solar,Solar,0.0,0.2,2027
wtg_V1_1,0.0,2011,0.0,0.0,wind,wind,0.0,0.0,2027
gen_3527_1,225.23718779557402,439,2.300000022645779,0.2663847286641129,naturalgas,Fossil,2.3,0.9,2027
gen_3464_1,189.74077837402,1182,1.9000000186412798,-0.2304127472915793,blackcoal,Fossil,1.9,0.8,2027
gen_5026_5,34.233340868547096,316,0.40000000975665934,0.0421148537901022,hydrowater,Hydro,0.4,0.2,2027
gen_4095_2,1.74399613115937,1171,0.0,0.8999999792754338,solar,Solar,0.0,0.9,2027
gen_4152_11,0.12966947583295402,1143,0.0,0.012590053061817602,solar,Solar,0.0,0.2,2027
gen_4373_11,0.129645442360081,1196,0.0,0.16574314369818854,solar,Solar,0.0,0.2,2027
wtg_S6_1,0.0,264,0.0,0.0,wind,wind,0.0,0.0,2027
owtg_T5_1,0.0,2022,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2027
wtg_S7_1,0.0,2005,0.0,0.0,wind,wind,0.0,0.0,2027
